,id,genre_name,original_language,original_title,release_year,vote_average,studio_name
1899,2294,"['Drama', 'Thriller']",en,the tailor of panama,2001,6.1,Columbia Pictures
1900,2295,"['Action', 'Drama', 'Thriller']",en,the last castle,2001,7.1,DreamWorks Pictures
1901,2296,['Adventure'],en,the musketeer,2001,5.3,Miramax
1902,2297,"['Drama', 'Romance']",en,the shipping news,2001,6.3,Miramax
1903,2298,"['Comedy', 'Romance', 'Family', 'Drama']",en,joe somebody,2001,5.7,20th Century Fox
1904,2300,"['Drama', 'Mystery']",en,hearts in atlantis,2001,6.8,Village Roadshow Pictures
1905,2301,"['Action', 'Comedy', 'Crime']",en,corky romano,2001,4.2,Robert Simonds Productions
1906,2302,"['Drama', 'Thriller']",en,the glass house,2001,5.9,Columbia Pictures
1907,2303,"['Comedy', 'Romance']",en,tomcats,2001,5.1,Columbia Pictures
1908,2304,"['Comedy', 'Romance']",en,two can play that game,2001,6.7,Screen Gems
1909,2305,"['Thriller', 'Drama', 'Mystery']",en,mulholland drive,2001,7.8,Universal Pictures
1910,2308,"['Comedy', 'Romance']",en,summer catch,2001,5.4,Warner Bros. Pictures
1911,2309,"['Comedy', 'Crime', 'Romance']",en,saving silverman,2001,5.5,Columbia Pictures
1912,2310,"['Music', 'Drama', 'Comedy']",en,rock star,2001,6.7,Warner Bros. Pictures
1913,2312,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",en,3000 miles to graceland,2001,5.8,Warner Bros. Pictures
1914,2313,"['Comedy', 'Family']",en,max keeble's big move,2001,5.7,Walt Disney Pictures
1915,2314,"['Comedy', 'Crime', 'Mystery']",en,super troopers,2001,6.6,Fox Searchlight Pictures
1916,2315,"['Action', 'Crime', 'Drama']",en,antitrust,2001,6.0,Metro-Goldwyn-Mayer
1917,2316,"['Drama', 'Thriller', 'Crime']",en,frailty,2001,7.0,Cinerenta Medienbeteiligungs KG
1918,2317,"['Horror', 'Science Fiction']",en,jason x,2001,4.8,Sean S. Cunningham Films
1919,2318,"['Drama', 'Romance']",en,crazy/beautiful,2001,6.6,Touchstone Pictures
1920,2319,"['Horror', 'Thriller']",en,valentine,2001,5.4,Village Roadshow Pictures
1921,2320,"['Comedy', 'Fantasy', 'Science Fiction']",en,just visiting,2001,4.6,Gaumont
1922,2321,"['Drama', 'Romance']",en,iris,2001,6.5,Miramax
1923,2322,"['Drama', 'Romance', 'Thriller']",en,o,2001,6.0,FilmEngine
1924,2323,"['Mystery', 'Drama', 'Thriller', 'Romance', 'War']",en,enigma,2001,6.4,Senator Film
1925,2325,['Comedy'],en,out cold,2001,5.8,Spyglass Entertainment
1926,2326,['Comedy'],en,freddy got fingered,2001,4.5,Regency Enterprises
1927,2327,"['Action', 'Horror', 'Science Fiction']",en,ghosts of mars,2001,5.2,Screen Gems
1928,2329,"['Western', 'Action']",en,american outlaws,2001,6.0,Morgan Creek Productions
1929,2330,"['Horror', 'Thriller']",en,haunted castle,2001,5.2,Indie Studio
1930,2331,"['Adventure', 'Animation', 'Action', 'Comedy', 'Family']",en,osmosis jones,2001,6.5,Warner Bros. Pictures
1931,2332,"['Crime', 'Comedy', 'Drama']",en,sugar & spice,2001,6.4,New Line Cinema
1932,2334,"['Romance', 'Comedy']",en,head over heels,2001,5.7,Robert Simonds Productions
1933,2335,"['Thriller', 'Action', 'Comedy', 'Crime']",en,the 51st state,2001,6.1,Film Council
1934,2336,"['Comedy', 'Romance']",en,say it isn't so,2001,4.8,20th Century Fox
1935,2337,"['Crime', 'Thriller']",en,knockaround guys,2001,5.9,Lawrence Bender Productions
1936,2338,"['Drama', 'Adventure', 'Thriller', 'Action', 'Crime']",en,birds of passage,2001,0.0,Adventure Film Productions
1937,2339,"['Comedy', 'Romance']",en,town & country,2001,4.7,New Line Cinema
1938,2342,"['Action', 'Comedy']",en,the wash,2001,4.9,Lionsgate
1939,2343,"['Fantasy', 'Horror', 'Science Fiction']",en,revelation,2001,4.8,Romulus Films
1940,2346,"['Action', 'Science Fiction', 'Thriller']",en,impostor,2001,6.1,Dimension Films
1941,2349,"['Crime', 'Drama', 'Horror', 'Thriller']",en,the hole,2001,6.2,Canal+
1942,2351,"['Fantasy', 'Drama', 'Mystery']",en,donnie darko,2001,7.8,Pandora Cinema
1943,2352,"['Horror', 'Thriller', 'Action']",en,bones,2001,4.7,New Line Cinema
1944,2354,"['Action', 'Thriller']",en,megiddo: the omega code 2,2001,4.6,Gener8Xion Entertainment
1945,2356,"['Comedy', 'Crime']",en,made,2001,6.0,Artisan Entertainment
1946,2357,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Comedy', 'Science Fiction']",en,monkeybone,2001,5.1,20th Century Fox
1947,2358,"['Drama', 'Music', 'Romance']",en,glitter,2001,4.6,Columbia Pictures
1948,2359,['Science Fiction'],en,xchange,2001,5.5,Coolbrook Media
1949,2361,"['Action', 'Adventure', 'Drama', 'Family']",en,the other side of heaven,2001,6.4,Walt Disney Studios Home Entertainment
1950,2362,"['Comedy', 'Drama', 'Romance']",en,tortilla soup,2001,5.9,Samuel Goldwyn Films
1951,2364,"['Horror', 'Mystery', 'Thriller']",en,soul survivors,2001,4.6,Indie Studio
1952,2365,"['Comedy', 'Drama', 'Romance']",en,lovely & amazing,2001,6.2,Lionsgate Home Entertainment
1953,2369,"['Drama', 'Mystery', 'Thriller']",en,the cat's meow,2001,5.9,Lions Gate Films
1954,2370,['Animation'],en,waking life,2001,7.6,Fox Searchlight Pictures
1955,2374,"['Comedy', 'Drama', 'Romance']",en,sidewalks of new york,2001,6.1,Paramount Vantage
1956,2376,['Documentary'],en,ayurveda: art of being,2001,5.3,Pandora Film
1957,2377,"['Comedy', 'Crime', 'Thriller']",en,novocaine,2001,6.1,Numb Gums Production Inc.
1958,2378,"['Drama', 'Romance']",en,the man from elysian fields,2001,5.6,Shoreline Entertainment
1959,2381,"['Drama', 'Crime']",en,l.i.e.,2001,6.8,Belladonna Productions
1960,2382,"['Horror', 'Mystery']",en,session 9,2001,6.1,October Films
1961,2383,"['Drama', 'Comedy']",en,human nature,2001,6.0,Fine Line Features
1962,2386,"['Comedy', 'Drama']",en,greenfingers,2001,6.4,Metro-Goldwyn-Mayer
1963,2387,['Drama'],en,the believer,2001,7.0,Fuller Films
1964,2390,"['Drama', 'History', 'Romance']",en,the affair of the necklace,2001,5.6,Alcon Entertainment
1965,2392,"['Comedy', 'Romance']",en,all over the guy,2001,6.0,Lionsgate
1966,2393,"['Drama', 'Romance']",en,"the bread, my sweet",2001,5.2,Indie Studio
1967,2394,"['Crime', 'Mystery', 'Drama']",en,brigham city,2001,6.6,Zion Films
1968,2395,"['Drama', 'Family']",en,an american rhapsody,2001,6.5,Paramount Vantage
1969,2397,"['Comedy', 'Romance']",en,about adam,2001,5.3,Screen Ireland
1970,2398,"['Drama', 'Mystery', 'Thriller']",en,the caveman's valentine,2001,5.8,Franchise Pictures
1971,2400,"['Drama', 'History', 'Romance', 'War']",en,charlotte gray,2001,6.0,Senator Film
1972,2402,"['Adventure', 'Family']",en,jolly roger,2001,2.9,M&M Productions
1973,2403,"['Comedy', 'Drama']",en,blow dry,2001,5.9,Intermedia Films
1974,2404,"['Comedy', 'Drama', 'Romance']",en,my first mister,2001,6.8,Film Roman Productions
1975,2408,['Drama'],en,tape,2001,6.8,The Independent Film Channel Productions
1976,2409,"['Crime', 'Drama']",en,bully,2001,6.6,StudioCanal
1977,2412,['Documentary'],en,porn star: the legend of ron jeremy,2001,6.0,Maelstrom Entertainment
1978,2416,['Comedy'],en,festival in cannes,2001,0.0,The Rainbow Film Company
1979,2417,['Comedy'],en,wet hot american summer,2001,6.3,Universal Pictures
1980,2420,"['Action', 'Comedy', 'Crime']",en,who is cletis tout?,2001,5.7,Seven Arts Pictures
1981,2421,['Comedy'],en,haiku tunnel,2001,6.4,Indie Studio
1982,2422,"['Family', 'Animation', 'Comedy']",en,a kitty bobo show,2001,10.0,Rough Draft Studios
1983,2424,['Documentary'],en,chop suey,2001,4.2,Just Blue Films Inc.
1984,2425,"['Action', 'Horror', 'Mystery', 'Thriller']",en,down,2001,5.2,First Floor Features
1985,2427,"['Drama', 'Comedy', 'Crime']",en,mars turkey,2001,2.0,Evanstone Films Ltd.
1986,2428,"['Drama', 'Comedy']",en,big bad love,2001,5.9,Sun Moon & Stars Productions
1987,2429,"['Family', 'Animation']",en,the trumpet of the swan,2001,5.5,TriStar Pictures
1988,2431, ,en,opération cobra,2001,0.0,Indie Studio
1989,2432,['Drama'],en,flossin,2001,0.0,Little Bridge Productions
1990,2435,"['Drama', 'Thriller']",en,snipes,2001,6.9,Ruff Nation Films
1991,2440,['Comedy'],en,very annie mary,2001,6.3,Canal+
1992,2441,"['Drama', 'Music', 'Comedy']",en,jackpot,2001,6.6,Polish Brothers Construction
1993,2443,"['Comedy', 'Drama', 'Romance']",en,the low down,2001,5.3,Oil Factory
1994,2445,"['Action', 'Comedy', 'Drama', 'History', 'War']",en,all the queen's men,2001,5.4,Dor Film Production Company
1995,2448,['Thriller'],en,picture claire,2001,5.7,Alliance Atlantis Communications
1996,2450,"['Animation', 'Family', 'Music']",en,why is the sky blue?,2001,10.0,ONF | NFB
1997,2451,"['Thriller', 'Crime']",en,the monkey's mask,2001,4.3,Canal+
1998,2452,"['Drama', 'Comedy']",en,daddy and them,2001,5.9,Indie Studio
1999,2453,['Drama'],en,don's plum,2001,5.4,Indie Studio
2000,2454,"['Animation', 'Comedy']",en,fire,2001,0.0,ONF | NFB
2001,2455,['Documentary'],en,hardcore,2001,3.6,Principal Films
2002,2458,"['Adventure', 'Fantasy', 'Action']",en,the lord of the rings: the two towers,2002,8.4,WingNut Films
2003,2459,"['Adventure', 'Fantasy']",en,harry potter and the chamber of secrets,2002,7.7,Warner Bros. Pictures
2004,2460,"['Fantasy', 'Action']",en,spider-man,2002,7.2,Laura Ziskin Productions
2005,2461,"['Adventure', 'Action', 'Science Fiction']",en,star wars: episode ii - attack of the clones,2002,6.5,Lucasfilm Ltd.
2006,2462,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",en,men in black ii,2002,6.3,Columbia Pictures
2007,2463,"['Adventure', 'Action', 'Thriller']",en,die another day,2002,6.0,Metro-Goldwyn-Mayer
2008,2464,"['Drama', 'Thriller', 'Science Fiction', 'Mystery']",en,signs,2002,6.7,The Kennedy/Marshall Company
2009,2465,"['Animation', 'Comedy', 'Family', 'Adventure']",en,ice age,2002,7.3,20th Century Fox
2010,2466,"['Comedy', 'Drama', 'Romance']",en,my big fat greek wedding,2002,6.5,HBO
2011,2467,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",en,minority report,2002,7.3,DreamWorks Pictures
2012,2468,"['Drama', 'Crime']",en,catch me if you can,2002,8.0,Kemp Company
2013,2469,"['Comedy', 'Crime', 'Drama']",en,chicago,2002,7.1,Miramax
2014,2470,"['Comedy', 'Crime', 'Science Fiction']",en,austin powers in goldmember,2002,6.0,New Line Cinema
2015,2471,"['Action', 'Adventure', 'Thriller']",en,xxx,2002,5.9,Columbia Pictures
2016,2472,"['Mystery', 'Adventure', 'Comedy']",en,scooby-doo,2002,6.0,Mosaic Media Group
2017,2473,"['Animation', 'Family']",en,lilo & stitch,2002,7.5,Walt Disney Pictures
2018,2474,"['Horror', 'Mystery']",en,the ring,2002,6.6,DreamWorks Pictures
2019,2475,"['Music', 'Drama']",en,8 mile,2002,7.1,Imagine Entertainment
2020,2476,"['Action', 'Drama', 'Mystery', 'Thriller']",en,the bourne identity,2002,7.4,Universal Pictures
2021,2477,"['Horror', 'Thriller']",en,red dragon,2002,7.0,Metro-Goldwyn-Mayer
2022,2478,"['Comedy', 'Romance']",en,two weeks notice,2002,6.3,Village Roadshow Pictures
2023,2479,"['Crime', 'Drama', 'Thriller']",en,panic room,2002,6.7,Columbia Pictures
2024,2480,"['Thriller', 'Action', 'Drama']",en,the sum of all fears,2002,6.3,Paramount
2025,2481,"['Drama', 'History', 'Crime']",en,gangs of new york,2002,7.3,Miramax
2026,2482,"['Crime', 'Drama', 'Thriller']",en,road to perdition,2002,7.4,DreamWorks Pictures
2027,2483,"['Comedy', 'Romance']",en,sweet home alabama,2002,6.4,Original Film
2028,2485,"['Fantasy', 'Comedy', 'Family']",en,the santa clause 2,2002,5.9,Walt Disney Pictures
2029,2486,"['Comedy', 'Romance']",en,mr. deeds,2002,5.8,Columbia Pictures
2030,2487,"['Family', 'Adventure', 'Animation', 'Comedy']",en,stuart little 2,2002,5.7,Columbia Pictures
2031,2488,"['Action', 'Adventure', 'Fantasy']",en,the scorpion king,2002,5.5,Universal Pictures
2032,2489,['Documentary'],en,space station 3d,2002,6.2,IMAX
2033,2490,"['Fantasy', 'Horror', 'Action', 'Thriller']",en,blade ii,2002,6.5,New Line Cinema
2034,2491,"['Comedy', 'Drama', 'Romance']",en,maid in manhattan,2002,6.1,Red Om Films
2035,2492,"['Drama', 'Comedy', 'Romance']",en,about a boy,2002,6.6,Universal Pictures
2036,2493,"['Science Fiction', 'Adventure', 'Action']",en,the time machine,2002,6.2,DreamWorks Pictures
2037,2494,"['Western', 'Animation', 'Adventure', 'Comedy', 'Family', 'Drama']",en,spirit: stallion of the cimarron,2002,7.7,DreamWorks Pictures
2038,2495,"['Drama', 'War']",en,the pianist,2002,8.4,Canal+
2039,2496,"['Action', 'Adventure', 'Family', 'Comedy']",en,spy kids 2: the island of lost dreams,2002,5.6,Dimension Films
2040,2497,"['Thriller', 'Drama']",en,unfaithful,2002,6.6,Regency Enterprises
2041,2498,"['Action', 'History', 'War']",en,we were soldiers,2002,7.1,Icon Entertainment International
2042,2499,"['Crime', 'Mystery', 'Thriller']",en,insomnia,2002,6.9,Section Eight
2043,2501,"['Adventure', 'Fantasy', 'Animation', 'Family']",en,return to never land,2002,6.4,Walt Disney Pictures
2044,2502,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",en,treasure planet,2002,7.5,Walt Disney Pictures
2045,2503,"['Drama', 'Comedy']",en,about schmidt,2002,6.8,New Line Cinema
2046,2504,"['Thriller', 'Action', 'Comedy', 'Science Fiction']",en,the tuxedo,2002,5.7,Vanguard Films
2047,2505,"['Horror', 'Action', 'Science Fiction']",en,resident evil,2002,6.6,Constantin Film
2048,2506,"['Drama', 'Thriller', 'Crime']",en,john q,2002,7.1,New Line Cinema
2049,2507,"['Crime', 'Drama', 'Thriller']",en,changing lanes,2002,6.2,Paramount
2050,2508,"['Horror', 'Thriller', 'Science Fiction']",en,28 days later,2002,7.2,DNA Films
2051,2509,"['Adventure', 'Action', 'Fantasy']",en,reign of fire,2002,6.1,The Zanuck Company
2052,2510,"['Comedy', 'Family', 'Adventure']",en,snow dogs,2002,5.7,Walt Disney Pictures
2053,2511,"['Action', 'Thriller', 'Drama']",en,collateral damage,2002,5.7,Warner Bros. Pictures
2054,2512,"['Action', 'Comedy']",en,showtime,2002,5.5,Village Roadshow Pictures
2055,2513,"['War', 'Drama', 'Action', 'History']",en,windtalkers,2002,6.2,Metro-Goldwyn-Mayer
2056,2514,"['Comedy', 'Drama']",en,barbershop,2002,6.3,Metro-Goldwyn-Mayer
2057,2515,"['Comedy', 'Drama', 'Romance']",en,bend it like beckham,2002,6.3,Road Movies
2058,2516,"['Drama', 'Family']",en,the rookie,2002,6.7,Walt Disney Pictures
2059,2517,"['Adventure', 'Drama', 'History']",en,the count of monte cristo,2002,7.6,Spyglass Entertainment
2060,2518,"['Comedy', 'Drama']",en,divine secrets of the ya-ya sisterhood,2002,6.2,All Girl Productions
2061,2519,"['Romance', 'Comedy']",en,the sweetest thing,2002,5.5,Konrad Pictures
2062,2520,"['Horror', 'Mystery', 'Thriller']",en,ghost ship,2002,5.9,Village Roadshow Pictures
2063,2521,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",en,star trek: nemesis,2002,6.3,Paramount
2064,2522,"['Action', 'Adventure', 'Comedy', 'Thriller']",en,bad company,2002,5.4,Jerry Bruckheimer Films
2065,2523,"['Comedy', 'Documentary']",en,jackass: the movie,2002,6.3,Paramount
2066,2524,"['Drama', 'Mystery', 'Thriller', 'Crime']",en,high crimes,2002,6.3,20th Century Fox
2067,2525,"['Comedy', 'Drama', 'Romance']",en,crossroads,2002,5.2,Paramount
2068,2526,"['Drama', 'Romance', 'Comedy', 'Music']",en,drumline,2002,6.9,Fox 2000 Pictures
2069,2527,"['Crime', 'Drama', 'Thriller']",en,murder by numbers,2002,6.1,Castle Rock Entertainment
2070,2528,"['Drama', 'Romance']",en,frida,2002,7.5,Miramax
2071,2529,"['Drama', 'Horror', 'Mystery']",en,the mothman prophecies,2002,6.1,Lakeshore Entertainment
2072,2530,"['Comedy', 'Crime']",en,analyze that,2002,5.8,Village Roadshow Pictures
2073,2531,"['Comedy', 'Fantasy']",en,the hot chick,2002,6.3,Happy Madison Productions
2074,2533,"['Family', 'Comedy', 'Adventure']",en,big fat liar,2002,5.8,Tollin/Robbins Productions
2075,2534,"['Thriller', 'Fantasy']",en,dragonfly,2002,6.5,Universal Pictures
2076,2535,"['Drama', 'Thriller']",en,one hour photo,2002,6.7,Fox Searchlight Pictures
2077,2536,"['Adventure', 'Romance', 'Drama']",en,blue crush,2002,6.0,Imagine Entertainment
2078,2537,"['Drama', 'Thriller']",en,enough,2002,6.6,Winkler Films
2079,2538,"['Action', 'Adventure', 'Comedy', 'Thriller']",en,i spy,2002,5.4,Columbia Pictures
2080,2540,"['Drama', 'Romance']",en,a walk to remember,2002,7.7,Warner Bros. Pictures
2081,2541,"['Action', 'Comedy', 'Horror', 'Thriller']",en,eight legged freaks,2002,5.7,Village Roadshow Pictures
2082,2542,"['Drama', 'Fantasy', 'Horror']",en,queen of the damned,2002,6.0,Village Roadshow Pictures
2083,2543,"['Action', 'Crime', 'Thriller']",en,the transporter,2002,6.7,Canal+
2084,2544,"['Comedy', 'Family']",en,the master of disguise,2002,4.0,Columbia Pictures
2085,2545,"['Action', 'Comedy']",en,undercover brother,2002,5.8,Universal Pictures
2086,2546,['Drama'],en,the hours,2002,7.3,Paramount
2087,2548,"['Comedy', 'Romance']",en,national lampoon's van wilder,2002,6.0,Myriad Pictures
2088,2549,"['Adventure', 'Family', 'Science Fiction', 'Thriller']",en,clockstoppers,2002,5.3,Paramount
2089,2550,"['Comedy', 'Drama']",en,the banger sisters,2002,5.7,Fox Searchlight Pictures
2090,2551,"['Horror', 'Thriller']",en,halloween: resurrection,2002,4.6,Miramax
2091,2552,['Documentary'],en,bowling for columbine,2002,7.6,Alliance Atlantis Communications
2092,2553,"['Drama', 'History', 'War', 'Thriller', 'Mystery']",en,k-19: the widowmaker,2002,6.5,Paramount
2093,2554,['Thriller'],en,swimfan,2002,5.3,20th Century Fox
2094,2555,['Comedy'],en,friday after next,2002,6.2,New Line Cinema
2095,2556,"['Family', 'Adventure', 'Comedy']",en,the crocodile hunter: collision course,2002,5.7,Metro-Goldwyn-Mayer
2096,2557,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",en,confessions of a dangerous mind,2002,6.7,Miramax
2097,2558,"['Comedy', 'Crime', 'Drama']",en,adaptation.,2002,7.4,Columbia Pictures
2098,2559,"['Drama', 'War']",en,hart's war,2002,6.4,Metro-Goldwyn-Mayer
2099,2560,"['Crime', 'Thriller', 'Action']",en,blood work,2002,6.1,Malpaso Productions
2100,2561,['Comedy'],en,the new guy,2002,5.9,Revolution Studios
2101,2563,"['Drama', 'Science Fiction', 'Mystery']",en,solaris,2002,5.9,20th Century Fox
2102,2564,"['War', 'Drama', 'Romance', 'Action', 'Adventure']",en,the four feathers,2002,6.6,Paramount
2103,2565,"['Romance', 'Thriller', 'Drama']",en,the quiet american,2002,6.6,Mirage Enterprises
2104,2566,"['Comedy', 'Romance']",en,brown sugar,2002,6.7,20th Century Fox
2105,2567,['Comedy'],en,ali g indahouse,2002,6.1,Universal Pictures
2106,2568,"['Action', 'Science Fiction', 'Thriller']",en,rollerball,2002,4.0,Metro-Goldwyn-Mayer
2107,2569,"['Action', 'Adventure', 'Comedy']",en,all about the benjamins,2002,5.9,New Line Cinema
2108,2570,"['Comedy', 'Drama', 'Romance']",en,punch-drunk love,2002,7.1,Columbia Pictures
2109,2571,"['Crime', 'Drama']",en,25th hour,2002,7.4,40 Acres and a Mule Filmworks
2110,2572,"['Animation', 'Comedy', 'Music']",en,eight crazy nights,2002,5.2,Columbia Pictures
2111,2573,"['Drama', 'Romance']",en,antwone fisher,2002,6.8,20th Century Fox
2112,2574,"['Crime', 'Drama', 'Mystery']",en,city by the sea,2002,5.8,Warner Bros. Pictures
2113,2575,"['Drama', 'History']",en,the magdalene sisters,2002,7.5,Miramax
2114,2577,"['Action', 'Adventure', 'Thriller']",en,ballistic: ecks vs. sever,2002,4.4,Epsilon Motion Pictures
2115,2578,"['Science Fiction', 'Comedy', 'Drama']",en,s1m0ne,2002,5.9,New Line Cinema
2116,2579,"['Crime', 'Action', 'Thriller']",en,half past dead,2002,5.2,Franchise Pictures
2117,2580,['Comedy'],en,martin lawrence live: runteldat,2002,5.0,Paramount
2118,2581,"['Drama', 'Family', 'Fantasy', 'Romance']",en,tuck everlasting,2002,6.6,Walt Disney Pictures
2119,2582,"['Horror', 'Thriller', 'Crime']",en,feardotcom,2002,3.7,Milagro Films
2120,2583,"['Crime', 'Action', 'Drama']",en,empire,2002,6.1,Universal Pictures
2121,2584,"['Adventure', 'Comedy', 'Family']",en,the country bears,2002,4.8,Walt Disney Pictures
2122,2585,"['Comedy', 'Romance']",en,serving sara,2002,5.3,Mandalay Pictures
2123,2586,"['Comedy', 'Drama', 'Romance']",en,life or something like it,2002,5.7,20th Century Fox
2124,2587,"['Drama', 'Comedy', 'Romance']",en,the good girl,2002,6.3,Fox Searchlight Pictures
2125,2588,"['Thriller', 'Crime', 'Romance']",en,femme fatale,2002,6.2,Epsilon Motion Pictures
2126,2589,['Drama'],en,the emperor's club,2002,7.1,Universal Pictures
2127,2591,"['Action', 'Adventure', 'Drama', 'Thriller']",en,undisputed,2002,6.5,Miramax
2128,2593,"['Action', 'Crime', 'Thriller']",en,trapped,2002,6.2,Columbia Pictures
2129,2596,"['Horror', 'Thriller']",en,long time dead,2002,5.4,Canal+
2130,2598,"['Crime', 'Drama', 'Thriller', 'Mystery']",en,narc,2002,6.8,Paramount
2131,2599,['Comedy'],en,sorority boys,2002,5.3,Touchstone Pictures
2132,2600,['Horror'],en,darkness,2002,5.7,Vía Digital
2133,2603,"['Animation', 'Action', 'Family']",en,the powerpuff girls movie,2002,6.6,Village Roadshow Pictures
2134,2605,"['Action', 'Adventure', 'Drama', 'Thriller']",en,extreme ops,2002,4.8,Paramount
2135,2606,"['Drama', 'Mystery', 'Thriller']",en,abandon,2002,4.7,Paramount
2136,2607,"['Drama', 'Mystery', 'Romance']",en,possession,2002,6.0,Warner Bros. Pictures
2137,2608,['Comedy'],en,kissing jessica stein,2002,6.1,Fox Searchlight Pictures
2138,2609,"['Romance', 'Drama']",en,moonlight mile,2002,6.3,Hyde Park Films
2139,2610,"['Music', 'Documentary']",en,iron maiden: rock in rio,2002,8.1,Sanctuary Mgt Productions Ltd.
2140,2611,"['Comedy', 'Drama', 'Romance']",en,secretary,2002,6.8,Slough Pond
2141,2612,"['Crime', 'Drama', 'Thriller']",en,dark blue,2002,6.2,Metro-Goldwyn-Mayer
2142,2614,['Comedy'],en,boat trip,2002,5.3,Motion Picture Corporation of America
2143,2615,"['Action', 'Comedy', 'Thriller', 'Mystery']",en,big trouble,2002,6.2,The Jacobson Company
2144,2617,['Thriller'],en,killing me softly,2002,5.5,The Montecito Picture Company
2145,2619,"['Comedy', 'Drama']",en,real women have curves,2002,6.1,Newmarket Films
2146,2621,"['Action', 'Comedy', 'Science Fiction']",en,the adventures of pluto nash,2002,4.4,Village Roadshow Pictures
2147,2623,"['Action', 'Thriller', 'Horror']",en,d-tox,2002,5.6,Universal Pictures
2148,2624,['Comedy'],en,crackerjack,2002,6.6,Million Monkeys
2149,2625,"['Comedy', 'Romance']",en,slackers,2002,5.1,Sony Pictures
2150,2628,"['Action', 'Science Fiction', 'Thriller']",en,equilibrium,2002,7.0,Dimension Films
2151,2629,"['Crime', 'Drama', 'Romance', 'Thriller']",en,the dancer upstairs,2002,6.3,Fox Searchlight Pictures
2152,2632,"['Comedy', 'Drama']",en,igby goes down,2002,6.7,United Artists
2153,2634,['Comedy'],en,men with brooms,2002,5.1,Indie Studio
2154,2638,"['Thriller', 'Science Fiction', 'Mystery']",en,cube 2: hypercube,2002,5.5,Lions Gate Films
2155,2639,"['Science Fiction', 'Fantasy', 'Action', 'Comedy', 'Horror']",en,matthew blackheart: monster smasher,2002,4.0,Telescene Film Group Productions
2156,2640,"['Comedy', 'Drama', 'Romance']",en,full frontal,2002,4.8,Miramax
2157,2641,"['Action', 'Crime', 'Drama']",en,paid in full,2002,6.8,Roc-a-fella Films
2158,2642,"['Drama', 'Romance']",en,g,2002,6.2,Andrew Lauren Productions
2159,2643,"['Drama', 'Comedy', 'Romance']",en,tadpole,2002,5.8,Miramax
2160,2644,"['Drama', 'Romance']",en,raising victor vargas,2002,7.3,Canal+
2161,2645,"['Comedy', 'Documentary']",en,comedian,2002,6.7,Indie Studio
2162,2647,"['Thriller', 'Horror', 'Mystery']",en,below,2002,6.1,Dimension Films
2163,2648,"['Drama', 'Horror', 'Thriller', 'War']",en,deathwatch,2002,5.8,Portobello Pictures
2164,2649,"['Crime', 'Action', 'Drama']",en,state property,2002,6.7,Indie Studio
2165,2650,"['Crime', 'Drama']",en,auto focus,2002,6.5,Propaganda Films
2166,2655,"['Comedy', 'Romance']",en,undertaking betty,2002,6.1,Miramax
2167,2661,['Documentary'],en,the kid stays in the picture,2002,6.9,Ministry of Propaganda Films
2168,2663,['Drama'],en,joshua,2002,6.5,Indie Studio
2169,2664,"['Comedy', 'Drama']",en,roger dodger,2002,6.2,Holedigger Films
2170,2670,"['Thriller', 'Science Fiction']",en,cypher,2002,6.7,Miramax
2171,2671,"['Drama', 'Thriller', 'Romance']",en,trois 2: pandora's box,2002,6.2,Rainforest Entertainment
2172,2675,"['Drama', 'History']",en,bloody sunday,2002,7.3,Portman Entertainment Group
2173,2676,"['Crime', 'Drama', 'Mystery', 'Thriller']",en,the salton sea,2002,6.7,Castle Rock Entertainment
2174,2677,"['Comedy', 'Romance']",en,swept away,2002,4.9,Screen Gems
2175,2678,"['Thriller', 'Action', 'Drama']",en,liberty stands still,2002,5.4,Lions Gate Films
2176,2679,['Comedy'],en,manna from heaven,2002,0.0,Five Sisters Productions
2177,2683,['Drama'],en,ken park,2002,5.8,Lou Yi
2178,2684,"['Drama', 'History', 'Western']",en,the tracker,2002,6.6,Vertigo Productions
2179,2686,['Documentary'],en,amandla! a revolution in four-part harmony,2002,7.2,Indie Studio
2180,2691,"['Action', 'Thriller']",en,derailed,2002,5.0,Millennium Films
2181,2694,"['Comedy', 'Romance']",en,waking up in reno,2002,5.1,Miramax
2182,2695,"['Action', 'Drama']",en,skins,2002,5.1,First Look Pictures
2183,2696,"['Comedy', 'Action']",en,haker,2002,4.3,Indie Studio
2184,2702,"['Drama', 'Family', 'Comedy']",en,stolen summer,2002,6.2,Miramax
2185,2703,"['Drama', 'Romance']",en,washington heights,2002,8.5,Stolen Car Productions
2186,2706,"['Drama', 'Horror']",en,dahmer,2002,5.2,Peninsula Films
2187,2711,['Drama'],en,pure,2002,6.4,A Bad Way Ltd
2188,2712,"['Comedy', 'Family', 'Fantasy']",en,hansel & gretel,2002,5.6,Tag Entertainment
2189,2713,"['Documentary', 'Drama']",en,stevie,2002,6.9,SenArt Films
2190,2716,"['Drama', 'Comedy']",en,funny ha ha,2002,6.2,Indie Studio
