,id,genre_name,original_language,original_title,release_year,vote_average,studio_name
68,72,['Drama'],en,reversal of fortune,1990,6.6,Shochiku-Fuji Company
69,73,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",en,mr. destiny,1990,6.1,Touchstone Pictures
70,74,"['Comedy', 'Family', 'Science Fiction']",en,spaced invaders,1990,4.9,Touchstone Pictures
71,75,"['Adventure', 'Fantasy', 'Horror', 'Family']",en,the witches,1990,6.9,Warner Bros. Pictures
72,76,"['Comedy', 'Crime']",en,quick change,1990,6.7,Warner Bros. Pictures
73,79,"['Comedy', 'Crime', 'Thriller']",en,wild at heart,1990,7.0,Propaganda Films
74,80,"['Adventure', 'Drama', 'Thriller']",en,lord of the flies,1990,6.4,Castle Rock Entertainment
75,81,"['Crime', 'Drama']",en,the grifters,1990,6.6,Miramax
76,82,['Horror'],en,graveyard shift,1990,5.2,Paramount
77,83,['Romance'],en,henry & june,1990,6.2,Universal Pictures
78,84,"['Music', 'Drama']",en,pump up the volume,1990,7.1,New Line Cinema
79,85,['Comedy'],en,opportunity knocks,1990,5.8,Imagine Entertainment
80,86,"['Action', 'Thriller', 'Crime', 'Mystery']",en,narrow margin,1990,6.4,Carolco Pictures
81,87,"['Crime', 'Drama', 'Mystery']",en,the two jakes,1990,6.1,Paramount
82,88,"['Action', 'Crime', 'Drama', 'Thriller']",en,miami blues,1990,6.0,Orion Pictures
83,89,"['Drama', 'Romance']",en,havana,1990,5.8,Universal Pictures
84,90,"['Action', 'Thriller', 'Science Fiction', 'Crime', 'Horror']",en,dark angel,1990,6.0,Epic Productions
85,91,"['Action', 'Fantasy', 'Horror']",en,nightbreed,1990,6.4,20th Century Fox
86,92,"['Comedy', 'Action']",en,ski patrol,1990,4.8,Epic Productions
87,93,"['Comedy', 'Music', 'Romance']",en,cry-baby,1990,6.6,Imagine Entertainment
88,94,"['Comedy', 'Drama', 'Romance']",en,funny about love,1990,4.8,Paramount
89,95,['Thriller'],en,blue steel,1990,5.8,Lightning Pictures
90,96,['Comedy'],en,almost an angel,1990,5.8,Paramount
91,97,['Action'],en,delta force 2: the colombian connection,1990,5.3,Metro-Goldwyn-Mayer
92,98,"['Action', 'Comedy', 'Crime']",en,flashback,1990,6.6,Paramount
93,100,"['Horror', 'Thriller']",en,night of the living dead,1990,6.8,Columbia Pictures
94,102,"['Drama', 'Romance']",en,stanley & iris,1990,6.5,Metro-Goldwyn-Mayer
95,103,['Horror'],en,leatherface: the texas chainsaw massacre iii,1990,5.3,Nicolas Entertainment
96,104,"['Science Fiction', 'Thriller', 'Horror']",en,hardware,1990,5.9,Palace Pictures
97,105,"['Comedy', 'Crime']",en,loose cannons,1990,5.0,TriStar Pictures
98,106,"['Drama', 'Thriller', 'Crime']",en,miller's crossing,1990,7.5,20th Century Fox
99,108,"['Drama', 'Music', 'Romance']",en,lambada,1990,5.7,Warner Bros. Pictures
100,109,"['Comedy', 'Crime', 'Drama', 'Fantasy']",en,heart condition,1990,5.7,New Line Cinema
101,110,"['Comedy', 'Drama']",en,"welcome home, roxy carmichael",1990,6.3,Paramount
102,113,"['Comedy', 'Drama', 'Romance']",en,metropolitan,1990,6.9,Waverly Films
103,114,"['Mystery', 'Thriller']",en,desperate hours,1990,5.5,Metro-Goldwyn-Mayer
104,115,"['Thriller', 'Crime']",en,impulse,1990,5.7,Warner Bros. Pictures
105,116,"['Science Fiction', 'Action']",en,class of 1999,1990,6.0,Lightning Pictures
106,117,"['Action', 'Comedy']",en,downtown,1990,5.9,20th Century Fox
107,118,"['Adventure', 'Drama']",en,"white hunter, black heart",1990,6.3,Malpaso Productions
108,119,"['Adventure', 'Drama', 'Romance']",en,the sheltering sky,1990,6.7,TAO Film
109,122,"['Horror', 'Thriller', 'Romance']",en,the haunting of morella,1990,4.0,Concorde-New Horizons
110,123,"['Action', 'Crime', 'Drama']",en,the last of the finest,1990,6.0,Orion Pictures
111,125,"['Comedy', 'Drama']",en,life is sweet,1990,7.0,Film Four International
112,126,['Drama'],en,the field,1990,6.7,Sovereign Pictures
113,127,"['Comedy', 'Horror']",en,repossessed,1990,5.2,Carolco Pictures
114,128,['Comedy'],en,daddy's dyin'... who's got the will?,1990,5.8,Propaganda Films
115,129,"['Drama', 'Thriller']",en,the fourth war,1990,4.8,Cannon Group
116,130,"['Crime', 'Romance']",en,the hot spot,1990,6.3,Orion Pictures
117,131,"['Romance', 'Drama']",en,the comfort of strangers,1990,5.9,The Rank Organisation
118,132,"['Horror', 'Comedy']",en,slumber party massacre iii,1990,5.1,Concorde Pictures
119,134,"['Drama', 'Thriller']",en,hidden agenda,1990,7.0,Hemdale Film
120,135,['Comedy'],en,without you i'm nothing,1990,5.6,Management Company Entertainment Group (MCEG)
121,136,['Action'],en,angel town,1990,6.5,Ellendale Place
122,137,"['Comedy', 'Fantasy']",en,meet the applegates,1990,5.5,New World Pictures
123,138,"['Comedy', 'Romance']",en,the shrimp on the barbie,1990,5.9,Sofa Home Entertainment
124,139,"['Horror', 'Science Fiction']",en,frankenstein unbound,1990,5.6,20th Century Fox
125,140,['Documentary'],en,american dream,1990,7.1,Channel Four Films
126,141,['Music'],en,eric clapton: the master at work,1990,0.0,Indie Studio
127,142,"['Comedy', 'Horror', 'Science Fiction']",en,frankenhooker,1990,6.1,Levins-Henenlotter
128,146,"['Romance', 'Drama', 'Crime']",en,chicago joe and the showgirl,1990,4.9,New Line Cinema
129,147,['Drama'],en,the big man,1990,5.2,BSB
130,150,"['Drama', 'Thriller']",en,the reflecting skin,1990,6.7,BBC Films
131,151,"['Action', 'Thriller', 'Science Fiction']",en,terminator 2: judgment day,1991,8.1,Carolco Pictures
132,152,"['Romance', 'Family', 'Animation', 'Fantasy']",en,beauty and the beast,1991,7.7,Walt Disney Pictures
133,153,"['Action', 'Adventure', 'Drama', 'Romance']",en,robin hood: prince of thieves,1991,6.8,Warner Bros. Pictures
134,154,"['Adventure', 'Fantasy', 'Comedy', 'Family']",en,hook,1991,6.8,Amblin Entertainment
135,155,"['Crime', 'Drama', 'Thriller']",en,the silence of the lambs,1991,8.3,Orion Pictures
136,156,"['Drama', 'Thriller', 'History']",en,jfk,1991,7.7,Canal+
137,157,"['Comedy', 'Fantasy']",en,the addams family,1991,7.0,Orion Pictures
138,158,"['Thriller', 'Crime']",en,cape fear,1991,7.3,Universal Pictures
139,159,"['Action', 'Comedy', 'War']",en,hot shots!,1991,6.5,20th Century Fox
140,160,"['Comedy', 'Western']",en,city slickers,1991,6.4,New Line Cinema
141,161,"['Drama', 'Crime', 'Thriller']",en,sleeping with the enemy,1991,6.5,20th Century Fox
142,162,"['Crime', 'Drama', 'Thriller']",en,backdraft,1991,6.7,Imagine Entertainment
143,163,"['Drama', 'Comedy']",en,fried green tomatoes,1991,7.7,Universal Pictures
144,164,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",en,star trek vi: the undiscovered country,1991,7.0,Paramount
145,165,"['Comedy', 'Romance']",en,father of the bride,1991,6.4,Sandollar Productions
146,166,"['Comedy', 'Crime']",en,the naked gun 2½: the smell of fear,1991,6.8,Paramount
147,167,"['Action', 'Thriller', 'Crime']",en,point break,1991,7.1,JVC
148,168,"['Drama', 'Romance']",en,dying young,1991,6.6,20th Century Fox
149,169,"['Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family']",en,teenage mutant ninja turtles ii: the secret of the ooze,1991,6.1,New Line Cinema
150,170,"['Drama', 'Romance']",en,the prince of tides,1991,6.6,Columbia Pictures
151,171,"['Action', 'Comedy', 'Crime']",en,the hard way,1991,6.2,Universal Pictures
152,172,['Comedy'],en,what about bob?,1991,6.9,Touchwood Pacific Partners 1
153,173,"['Action', 'Thriller']",en,the last boy scout,1991,6.8,Warner Bros. Pictures
154,174,"['Comedy', 'Drama']",en,my girl,1991,7.4,Columbia Pictures
155,175,"['Crime', 'Drama']",en,boyz n the hood,1991,7.6,Columbia Pictures
156,176,"['Comedy', 'Romance']",en,doc hollywood,1991,6.3,Warner Bros. Pictures
157,177,['Comedy'],en,king ralph,1991,5.3,Universal Pictures
158,178,"['Crime', 'Drama', 'Mystery']",en,bugsy,1991,6.4,TriStar Pictures
159,179,"['Thriller', 'Crime', 'Drama']",en,new jack city,1991,6.6,Warner Bros. Pictures
160,180,"['Action', 'Adventure', 'Science Fiction', 'Family']",en,the rocketeer,1991,6.5,Walt Disney Pictures
161,181,"['Drama', 'Thriller', 'Crime', 'Adventure']",en,thelma & louise,1991,7.6,Metro-Goldwyn-Mayer
162,182,"['Romance', 'Drama']",en,regarding henry,1991,6.6,Paramount
163,183,"['Comedy', 'Drama']",en,the fisher king,1991,7.3,TriStar Pictures
164,184,"['Adventure', 'Animation', 'Family', 'Western']",en,an american tail: fievel goes west,1991,6.3,Universal Pictures
165,185,"['Action', 'Crime']",en,out for justice,1991,6.1,Warner Bros. Pictures
166,186,['Drama'],en,the doctor,1991,6.5,Touchstone Pictures
167,187,"['Thriller', 'Romance', 'Mystery']",en,dead again,1991,6.5,Paramount
168,188,['Comedy'],en,soapdish,1991,6.2,Paramount
169,189,"['Horror', 'Thriller']",en,freddy's dead: the final nightmare,1991,5.3,New Line Cinema
170,190,"['Action', 'Adventure', 'Drama', 'Family']",en,white fang,1991,6.7,Walt Disney Pictures
171,191,"['Music', 'Drama']",en,the doors,1991,7.1,Imagine Entertainment
172,192,"['Comedy', 'Drama', 'Family', 'Romance']",en,curly sue,1991,6.4,Warner Bros. Pictures
173,193,['Comedy'],en,problem child 2,1991,5.9,Imagine Entertainment
174,194,"['Drama', 'Romance']",en,jungle fever,1991,6.4,Universal Pictures
175,195,"['Horror', 'Mystery']",en,the people under the stairs,1991,6.6,Universal Pictures
176,196,"['Thriller', 'Action', 'Crime', 'Drama']",en,double impact,1991,6.0,Columbia Pictures
177,197,"['Comedy', 'Family']",en,don't tell mom the babysitter's dead,1991,6.1,Mercury
178,198,"['Comedy', 'Romance']",en,only the lonely,1991,6.0,20th Century Fox
179,199,"['Drama', 'Family']",en,little man tate,1991,6.5,Orion Pictures
180,200,['Comedy'],en,pure luck,1991,5.4,Universal Pictures
181,201,['Comedy'],en,oscar,1991,6.3,Touchstone Pictures
182,202,"['Drama', 'Music']",en,for the boys,1991,6.6,20th Century Fox
183,203,"['Drama', 'Romance', 'Comedy']",en,frankie and johnny,1991,6.7,Paramount
184,204,"['Crime', 'Thriller', 'Action']",en,ricochet,1991,6.1,Silver Pictures
185,205,"['Horror', 'Thriller']",en,child's play 3,1991,5.9,Universal Pictures
186,206,"['Action', 'Crime', 'Drama', 'Thriller']",en,mobsters,1991,6.2,Universal Pictures
187,207,"['Mystery', 'Thriller', 'Drama']",en,mortal thoughts,1991,5.7,Columbia Pictures
188,208,"['Drama', 'Family']",en,paradise,1991,6.2,Touchwood Pacific Partners 1
189,209,"['Action', 'Adventure', 'Comedy']",en,hudson hawk,1991,5.7,TriStar Pictures
190,212,"['Drama', 'Action', 'Thriller', 'Crime']",en,billy bathgate,1991,5.7,Touchstone Pictures
191,213,"['Fantasy', 'Science Fiction']",en,highlander ii: the quickening,1991,4.8,Lamb Bear Entertainment
192,214,"['Fantasy', 'Comedy']",en,switch,1991,5.9,Beco Films
193,215,"['Mystery', 'Thriller', 'Crime']",en,a kiss before dying,1991,5.7,Universal Pictures
194,216,"['Action', 'Adventure', 'Thriller']",en,toy soldiers,1991,6.4,TriStar Pictures
195,217,"['Comedy', 'Drama', 'Music']",en,the commitments,1991,7.3,20th Century Fox
196,218,"['Family', 'Drama', 'Comedy']",en,all i want for christmas,1991,5.7,Paramount
197,219,"['Drama', 'Thriller']",en,not without my daughter,1991,6.5,Metro-Goldwyn-Mayer
198,220,"['Action', 'War']",en,flight of the intruder,1991,5.5,Paramount
199,221,"['Horror', 'Science Fiction', 'Action']",en,scanners ii: the new order,1991,5.0,Malofilm
200,222,"['Action', 'Drama', 'Crime']",en,the perfect weapon,1991,6.2,Paramount
201,223,"['Comedy', 'Fantasy', 'Family']",en,drop dead fred,1991,6.0,New Line Cinema
202,224,"['Romance', 'Drama']",en,enchanted april,1991,6.7,Miramax
203,225,"['Action', 'Comedy', 'Romance', 'Thriller', 'Drama']",en,the marrying man,1991,5.7,Permut Presentations
204,226,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']",en,rock-a-doodle,1991,6.2,Goldcrest
205,227,"['Mystery', 'Thriller']",en,shattered,1991,6.3,Metro-Goldwyn-Mayer
206,228,"['Romance', 'Comedy']",en,career opportunities,1991,6.8,Universal Pictures
207,229,['Comedy'],en,the super,1991,6.0,JVC
208,231,"['Crime', 'Comedy']",en,a rage in harlem,1991,5.5,Miramax
209,232,"['Comedy', 'Drama', 'Romance']",en,"he said, she said",1991,5.9,Paramount
210,233,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",en,the butcher's wife,1991,5.6,Paramount
211,234,['Comedy'],en,scenes from a mall,1991,5.2,Touchstone Pictures
212,235,"['Drama', 'Thriller']",en,guilty by suspicion,1991,6.4,Warner Bros. Pictures
213,236,"['Action', 'Adventure', 'Comedy', 'Family']",en,bingo,1991,5.1,TriStar Pictures
214,237,"['Comedy', 'Adventure']",en,nothing but trouble,1991,5.2,Warner Bros. Pictures
215,238,"['Adventure', 'Drama', 'History']",en,black robe,1991,6.6,Téléfilm Canada
216,239,"['Action', 'Comedy', 'Family', 'Science Fiction']",en,suburban commando,1991,4.8,New Line Cinema
217,240,"['Action', 'Comedy']",en,if looks could kill,1991,6.2,Warner Bros. Pictures
218,241,"['Comedy', 'Romance']",en,strictly business,1991,5.2,Island World
219,242,"['Action', 'Thriller']",en,harley davidson and the marlboro man,1991,6.4,Metro-Goldwyn-Mayer
220,243,"['Drama', 'Romance']",en,mississippi masala,1991,6.3,Channel Four Films
221,244,"['Drama', 'Adventure']",en,my own private idaho,1991,7.1,Fine Line Features
222,245,['Drama'],en,rambling rose,1991,6.4,Carolco Pictures
223,246,"['Comedy', 'Romance']",en,mystery date,1991,5.8,Orion Pictures
224,247,"['Comedy', 'Drama', 'Crime']",en,barton fink,1991,7.5,20th Century Fox
225,248,"['Fantasy', 'Comedy', 'Romance']",en,delirious,1991,5.6,Metro-Goldwyn-Mayer
226,249,"['Comedy', 'Drama']",en,livin' large!,1991,5.8,Indie Studio
227,250,"['Science Fiction', 'Action', 'Thriller']",en,eve of destruction,1991,4.3,Nelson Entertainment
228,251,['Comedy'],en,true identity,1991,5.7,Sandollar Productions
229,252,"['Action', 'Crime', 'Thriller']",en,the hitman,1991,5.4,Cannon Group
230,253,['Comedy'],en,dutch,1991,6.5,20th Century Fox
231,255,"['Action', 'Thriller', 'Drama']",en,run,1991,6.5,Hollywood Pictures
232,257,"['Comedy', 'Horror']",en,popcorn,1991,5.6,Movie Partners
233,259,['Documentary'],en,paris is burning,1991,8.1,Miramax
234,260,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']",en,mannequin two: on the move,1991,5.9,20th Century Fox
235,261,"['Drama', 'Romance']",en,shout,1991,5.9,Universal Pictures
236,264,"['Thriller', 'Action', 'Adventure', 'Drama']",en,k2,1991,5.7,Majestic Films International
237,265,"['Drama', 'Family', 'Romance']",en,the man in the moon,1991,7.4,Metro-Goldwyn-Mayer
238,266,"['Adventure', 'Drama']",en,return to the blue lagoon,1991,6.0,Columbia Pictures
239,267,"['Thriller', 'Comedy']",en,shadows and fog,1991,6.8,Orion Pictures
240,268,"['Drama', 'Romance']",en,flirting,1991,6.9,Kennedy Miller Productions
241,269,"['Drama', 'Thriller', 'Horror']",en,scissors,1991,4.9,DDM Film Corporation
